YEAR,week_start,cases
2015,6/28/15,5
2015,7/5/15,13
2015,7/12/15,6
2015,7/19/15,2
2015,7/26/15,5
2015,8/2/15,6
2015,8/9/15,1
2015,8/16/15,1
2015,8/23/15,4
2015,8/30/15,5
2015,9/6/15,0
2015,9/13/15,1
2015,9/20/15,1
2015,9/27/15,1
2015,10/4/15,0
2015,10/11/15,1
2015,10/18/15,0
2015,10/25/15,0
2015,11/1/15,0
2015,11/8/15,0
2015,11/15/15,0
2015,11/22/15,0
2015,11/29/15,0
2015,12/6/15,0
2015,12/13/15,0
2015,12/20/15,0
2015,12/27/15,0
2016,12/27/15,0
2016,1/3/16,0
2016,1/10/16,0
2016,1/17/16,0
2016,1/24/16,0
2016,1/31/16,0
2016,2/7/16,0
2016,2/14/16,0
2016,2/21/16,0
2016,2/28/16,0
2016,3/6/16,0
2016,3/13/16,0
2016,3/20/16,0
2016,3/27/16,0
2016,4/3/16,0
2016,4/10/16,0
2016,4/17/16,0
2016,4/24/16,1
2016,5/1/16,1
2016,5/8/16,0
2016,5/15/16,2
2016,5/22/16,2
2016,5/29/16,3
2016,6/5/16,3
2016,6/12/16,3
2016,6/19/16,2
2016,6/26/16,4
2016,7/3/16,3
2016,7/10/16,2
2016,7/17/16,2
2016,7/24/16,1
2016,7/31/16,2
2016,8/7/16,2
2016,8/14/16,2
2016,8/21/16,2
2016,8/28/16,5
2016,9/4/16,3
2016,9/11/16,6
2016,9/18/16,6
2016,9/25/16,3
2016,10/2/16,1
2016,10/9/16,0
2016,10/16/16,2
2016,10/23/16,1
2016,10/30/16,1
2016,11/6/16,1
2016,11/13/16,0
2016,11/20/16,0
2016,11/27/16,0
2016,12/4/16,0
2016,12/11/16,0
2016,12/18/16,0
2016,12/25/16,0
2017,1/1/17,0
2017,1/8/17,0
2017,1/15/17,0
2017,1/22/17,0
2017,1/29/17,0
2017,2/5/17,0
2017,2/12/17,0
2017,2/19/17,0
2017,2/26/17,0
2017,3/5/17,0
2017,3/12/17,0
2017,3/19/17,0
2017,3/26/17,0
2017,4/2/17,0
2017,4/9/17,0
2017,4/16/17,0
2017,4/23/17,0
2017,4/30/17,0
2017,5/7/17,0
2017,5/14/17,2
2017,5/21/17,2
2017,5/28/17,2
2017,6/4/17,1
2017,6/11/17,4
2017,6/18/17,7
2017,6/25/17,6
2017,7/2/17,9
2017,7/9/17,4
2017,7/16/17,1
2017,7/23/17,3
2017,7/30/17,2
2017,8/6/17,1
2017,8/13/17,11
2017,8/20/17,8
2017,8/27/17,9
2017,9/3/17,11
2017,9/10/17,10
2017,9/17/17,5
2017,9/24/17,2
2017,10/1/17,1
2017,10/8/17,2
2017,10/15/17,0
2017,10/22/17,0
2017,10/29/17,0
2017,11/5/17,0
2017,11/12/17,0
2017,11/19/17,0
2017,11/26/17,0
2017,12/3/17,0
2017,12/10/17,0
2017,12/17/17,0
2017,12/24/17,0
2017,12/31/17,0
